TAR_NAME,RA,DEC,TAR_TYPE,MAGNITUDE,SPEC_TYPE,T_0,PERIOD,DEPTH1,DEPTH2,WIDTH1,WIDTH2,PHASE2,NOTES,MAG_SOURCE
EPIC 204511503,16:57:48.384,-22:02:25.63,EB,11.857,,2457685.808,13.0712,0.388,0.375,0.0336,0.0329,0.4994,,APASS
EPIC 210654881,03:55:50.470,+17:44:11.69,EB,12.982,,2457064.017,12.1617,0.133,0.073,0.0202,0.0219,0.357,,APASS
EPIC 210779706,04:25:14.462,+19:33:41.64,EB,13.014,,2457837.754,62.9604,0.23,0.11,0.0041,0.0032,0.4995,,APASS
EPIC 210822691,03:41:14.262,+20:12:53.55,EB,11.885,,2457064.16,8.0744,0.294,0.245,0.0304,0.0307,0.5048,,SOURCE
EPIC 210879084,03:46:23.934,+21:03:58.88,EB,13.011,,2457074.346,31.5055,0.133,0.122,0.0136,0.0467,0.8658,,APASS
EPIC 211036449,03:33:49.565,+23:33:06.51,EB,9.662,F5,2457074.58,38.1309,0.36,0.105,0.0075,0.0169,0.8544,,SOURCE
EPIC 211155479,03:53:07.418,+25:32:07.27,EB,8.907,A0,2457064.283,13.062,0.275,0.207,0.0243,0.0219,0.413,Also V1287 Tau,SOURCE
EPIC 211391083,08:54:44.662,+11:30:05.23,EB,10.373,,2457150.43,39.2391,0.492,0.421,0.0062,0.0255,0.7498,,APASS
EPIC 211443351,08:52:10.542,+12:17:53.85,EB,9.856,,2458106.334,65.8891,0.213,0.08,0.0074,0.0065,0.6365,,SOURCE
EPIC 211563123,08:44:30.970,+14:01:35.37,EB,12.705,,2457145.393,17.3261,0.362,0.053,0.0213,0.0377,0.5905,,APASS
EPIC 211567126,08:14:01.680,+14:05:01.56,EB,10.032,,2457149.646,14.904,0.116,0.098,0.0295,0.0289,0.5001,,SOURCE
EPIC 211770578,08:39:05.530,+16:53:55.05,EB,12.6,,2457148.294,40.4236,0.246,0.061,0.0066,0.0081,0.5533,,APASS
EPIC 211785852,08:23:58.322,+17:06:50.71,EB,9.534,A2,2457140.182,7.1603,0.309,0.205,0.0429,0.0427,0.4994,,APASS
EPIC 211807843,08:36:07.042,+17:25:37.99,EB,11.472,,2457145.995,6.7639,0.431,0.379,0.0423,0.0393,0.4992,,APASS
EPIC 211885185,08:44:06.583,+18:30:39.78,EB,12.623,,2457141.695,8.7946,0.321,0.223,0.0349,0.0325,0.5036,,APASS
EPIC 211972744,08:45:26.014,+19:49:13.69,EB,9.487,F8,2457181.343,45.914,0.389,0.235,0.0103,0.0254,0.3246,,APASS
EPIC 212290847,13:31:07.219,-17:48:40.77,EB,12.376,,2457222.295,8.3956,0.164,0.16,0.034,0.0329,0.5063,,APASS
EPIC 212559866,13:32:10.946,-11:27:46.18,EB,12.008,,2457218.607,19.6981,0.129,0.122,0.0197,0.0208,0.5376,,APASS
EPIC 213273052,19:08:24.889,-30:01:56.27,EB,11.609,,2457314.205,33.6891,0.485,0.404,0.0243,0.017,0.5563,,APASS
EPIC 213599585,19:06:49.532,-28:52:19.29,EB,11.896,,2457304.071,6.2883,0.14,0.136,0.0423,0.0439,0.5004,,APASS
EPIC 213601365,19:21:18.356,-28:51:58.59,EB,10.425,,2457335.955,71.2121,0.378,0.137,0.0089,0.0228,0.5596,,APASS
EPIC 214417858,18:44:12.188,-26:32:34.11,EB,11.986,,2457306.186,13.8843,0.364,0.28,0.0309,0.0339,0.2851,,APASS
EPIC 214675496,19:10:56.842,-25:54:39.56,EB,8.594,B9V,2457308.5,11.7899,0.341,0.225,0.0355,0.032,0.4354,V 5570 Sgr,APASS
EPIC 216712967,18:51:42.466,-21:51:30.19,EB,9.183,B9IV/V,2457314.547,9.7297,0.228,0.085,0.022,0.0357,0.1654,,APASS
EPIC 218070138,18:49:00.710,-19:27:49.69,EB,12.087,,2457303.305,15.098,0.417,0.35,0.0223,0.0257,0.8391,,APASS
EPIC 218796935,19:12:43.636,-18:08:12.00,EB,11.547,,2457313.093,46.5784,0.576,0.35,0.0211,0.0132,0.5175,V 1108 Sgr,APASS
EPIC 227264867,17:27:47.074,-18:34:54.52,EB,10.616,,2457656.637,9.1151,0.258,0.218,0.0202,0.0269,0.7363,,APASS
EPIC 227506998,17:33:16.826,-17:58:47.92,EB,13.372,,2457656.448,10.0986,0.267,0.289,0.0202,0.0253,0.5088,,APASS
EPIC 228729886,12:33:43.186,-09:52:16.87,EB,10.814,,2457588.061,12.9703,0.144,0.141,0.0205,0.0221,0.5001,,APASS
